Class,Name,Top-1,Top-3,Top-5,Top-7,Top-10,Top-20,Top-50
0,Am,0.0338,0.0401,0.0422,0.0464,0.0527,0.0781,0.1582
1,Atol,0.0023,0.0065,0.0125,0.02,0.0306,0.0717,0.1955
2,Cm,0.0249,0.0267,0.0267,0.0302,0.0338,0.0391,0.0854
3,Gm,0.0645,0.076,0.076,0.076,0.076,0.0783,0.0876
4,Tm,0.0182,0.0213,0.0243,0.0243,0.0289,0.0289,0.0365
5,Y,0.1435,0.4054,0.5512,0.6322,0.6897,0.746,0.7783
6,ac4C,0.0017,0.0068,0.011,0.0127,0.0161,0.0263,0.0662
7,m1A,0.0004,0.003,0.0054,0.0101,0.017,0.0379,0.1042
8,m5C,0.0121,0.0163,0.0163,0.0174,0.0179,0.0294,0.0589
9,m6A,0.0052,0.0292,0.0656,0.1084,0.1755,0.3747,0.6985
10,m6Am,0.0015,0.0015,0.0075,0.012,0.018,0.0585,0.1859
11,m7G,0.0022,0.0066,0.0132,0.0155,0.0177,0.0243,0.0464
