Class,Mod Name,Acc,AUC,AUPRC,Precision,Recall,F1,MCC,Sn,Sp,TP,TN,FP,FN,Optimal_Threshold
0 (Am),Am,0.5422,0.6007,0.5819,0.523,0.9578,0.6766,0.1518,0.9578,0.1266,454,60,414,20,0.06
1 (Atol),Atol,0.5711,0.6365,0.6253,0.5411,0.9356,0.6857,0.2077,0.9356,0.2065,13876,3063,11768,955,0.06
2 (Cm),Cm,0.5516,0.594,0.5722,0.528,0.9733,0.6846,0.1921,0.9733,0.1299,547,73,489,15,0.08
3 (Gm),Gm,0.5472,0.5552,0.5453,0.5383,0.6636,0.5944,0.0971,0.6636,0.4309,288,187,247,146,0.05
4 (Tm),Tm,0.6451,0.6736,0.6223,0.5902,0.9498,0.728,0.3661,0.9498,0.3404,625,224,434,33,0.1
5 (Y),Y,0.723,0.7824,0.7847,0.7193,0.7315,0.7253,0.4461,0.7315,0.7145,474,463,185,174,0.11
6 (ac4C),ac4C,0.7801,0.8485,0.8679,0.8,0.747,0.7726,0.5615,0.747,0.8132,880,958,220,298,0.17
7 (m1A),m1A,0.5539,0.5906,0.5494,0.53,0.9535,0.6813,0.1794,0.9535,0.1543,4431,717,3930,216,0.08
8 (m5C),m5C,0.5789,0.6558,0.6197,0.5458,0.939,0.6904,0.2274,0.939,0.2187,893,208,743,58,0.12
9 (m6A),m6A,0.5623,0.634,0.6216,0.5394,0.8542,0.6612,0.1535,0.8542,0.2704,17598,5571,15030,3003,0.05
10 (m6Am),m6Am,0.5457,0.5766,0.54,0.5245,0.9775,0.6827,0.1814,0.9775,0.1139,652,76,591,15,0.07
11 (m7G),m7G,0.6244,0.6432,0.6685,0.6406,0.5668,0.6015,0.2505,0.5668,0.682,246,296,138,188,0.05
