Class,位点数,序列数,占比(%)
Am,1,1933,99.9
Am,2,1,0.1
Atol,1,49435,100.0
Cm,1,2209,99.55
Cm,2,9,0.41
Cm,3,1,0.05
Gm,1,2170,98.86
Gm,2,25,1.14
Tm,1,2323,100.0
Y,1,14530,39.33
Y,2,9598,25.98
Y,3,6516,17.64
Y,4,3542,9.59
Y,5,1669,4.52
Y,6,731,1.98
Y,7,221,0.6
Y,8,81,0.22
Y,9,29,0.08
Y,10,14,0.04
Y,11,3,0.01
Y,14,3,0.01
ac4C,1,3925,100.0
m1A,1,15489,100.0
m5C,1,3378,99.94
m5C,2,2,0.06
m6A,1,72742,63.7
m6A,2,10129,8.87
m6A,3,8256,7.23
m6A,4,6497,5.69
m6A,5,4956,4.34
m6A,6,3642,3.19
m6A,7,2615,2.29
m6A,8,1838,1.61
m6A,9,1244,1.09
m6A,10,833,0.73
m6A,11,582,0.51
m6A,12,365,0.32
m6A,13,239,0.21
m6A,14,125,0.11
m6A,15,68,0.06
m6A,16,22,0.02
m6A,17,22,0.02
m6A,18,0,0.0
m6A,19,0,0.0
m6A,20,11,0.01
m6A,21,0,0.0
m6Am,1,2221,100.0
m7G,1,1508,100.0
