Class,Name,Top-1,Top-3,Top-5,Top-10,Top-20,Top-50
0,Am,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,Atol,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,Cm,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,Gm,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,Tm,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,Y,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,ac4C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,m1A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,m5C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,m6A,0.2337,0.4632,0.5771,0.7816,0.9493,0.9977
10,m6Am,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,m7G,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
