task_name,class_index,global_step,epoch,loss,human_Y_auc,plant_Y_auc,human_m5C_auc,plant_m5C_auc,human_m6A_auc,plant_m6A_auc
Y,5,100,1,0.7344469428062439,0.6204030585440456,0.5484957123948386,,,,
Y,5,200,1,0.581851601600647,0.7122503529687862,0.8269976318429424,,,,
Y,5,300,1,0.5292069911956787,0.7902920942871086,0.9067591171167021,,,,
Y,5,400,1,0.44310539960861206,0.7499826828453848,0.818982849579355,,,,
Y,5,500,1,0.49901270866394043,0.7979724293968007,0.9143257140074684,,,,
Y,5,600,1,0.460565984249115,0.7992048125394203,0.9167652744297679,,,,
Y,5,700,1,0.38732215762138367,0.8004956181860354,0.9153413303356572,,,,
Y,5,800,1,0.4917256832122803,0.8022753088810606,0.9144714658803179,,,,
Y,5,900,1,0.44222915172576904,0.8008354088414562,0.9140240004314306,,,,
Y,5,1000,1,0.47238582372665405,0.8016919507162977,0.9159958066394265,,,,
Y,5,1100,1,0.5076512098312378,0.8027074685473261,0.9175506459942909,,,,
Y,5,1200,1,0.43508410453796387,0.8036100891118394,0.916481035371041,,,,
Y,5,1300,1,0.4706960618495941,0.8054788603897587,0.9191747943897243,,,,
Y,5,1400,1,0.37120702862739563,0.8150378402008951,0.9251291543537858,,,,
Y,5,1500,1,0.5780975818634033,0.8775734431312294,0.9763080232511869,,,,
Y,5,1600,1,0.2982574999332428,0.8901501416433361,0.9782281912788153,,,,
Y,5,1700,2,0.36595189571380615,0.8935147854232389,0.9805718709226127,,,,
Y,5,1800,2,0.39977896213531494,0.8935265269017499,0.9805430739652468,,,,
Y,5,1900,2,0.31460368633270264,0.8935302345228673,0.9805234396761338,,,,
Y,5,2000,2,0.41019541025161743,0.8935327374723592,0.9804841710979075,,,,
Y,5,2100,2,0.2916436195373535,0.8935315287308974,0.9804668274758578,,,,
Y,5,2200,2,0.3870044946670532,0.89353629857936,0.9804363943277324,,,,
Y,5,2300,2,0.4240700602531433,0.8935376701142848,0.9804167600386193,,,,
Y,5,2400,2,0.4120771288871765,0.893547983080159,0.9803928062059013,,,,
Y,5,2500,2,0.3932275176048279,0.8935452074516168,0.9803710775926162,,,,
Y,5,2600,2,0.400771826505661,0.8935489272822439,0.9803489562935488,,,,
Y,5,2700,2,0.26436400413513184,0.8935656990787582,0.9803443749594225,,,,
Y,5,2800,2,0.4734027087688446,0.8935669851471152,0.9803222536603551,,,,
Y,5,2900,2,0.33009767532348633,0.8935706073016644,0.9803081169721936,,,,
Y,5,3000,2,0.33231863379478455,0.8935933251294109,0.9802776183764379,,,,
Y,5,3100,2,0.34554949402809143,0.8936098934340969,0.9802442400849457,,,,
Y,5,3200,2,0.3509306311607361,0.8936181877610312,0.9802126943271041,,,,
m5C,8,100,1,0.5984428524971008,,,0.6889325147419254,0.49374581456045497,,
m5C,8,200,2,0.5833025574684143,,,0.6670834041107525,0.40394246429090863,,
m5C,8,300,3,0.6316016912460327,,,0.68117304472324,0.4552571518073906,,
m5C,8,400,3,0.636864960193634,,,0.6872848164235967,0.501222068434234,,
m5C,8,500,4,0.5681602954864502,,,0.7145642942075761,0.5010600449749952,,
m5C,8,600,5,0.5575675964355469,,,0.7131840132009998,0.5903893118058563,,
m5C,8,700,5,0.620872437953949,,,0.7285588099686963,0.6713738710301256,,
m5C,8,800,6,0.5220629572868347,,,0.7289480453299035,0.6964249753468621,,
m5C,8,900,7,0.6723071336746216,,,0.7295367516804582,0.6817927186537549,,
m5C,8,1000,7,0.5517359375953674,,,0.7353709141207019,0.6858249251615438,,
m5C,8,1100,8,0.5767110586166382,,,0.7307486228736441,0.7028901309133568,,
m5C,8,1200,9,0.5690035820007324,,,0.738214953044238,0.7050295997481145,,
m5C,8,1300,9,0.48714908957481384,,,0.7383600669756607,0.7101450259796924,,
m5C,8,1400,10,0.5839651823043823,,,0.7393389793491711,0.7100511282906146,,
m6A,9,500,1,0.5084899663925171,,,,,0.7891429709376424,0.9397513774906734
m6A,9,1000,1,0.5197296142578125,,,,,0.794739061264516,0.9345302203495395
m6A,9,1500,1,0.6236752867698669,,,,,0.8191053935395751,0.9085023570642106
m6A,9,2000,1,0.37427133321762085,,,,,0.8732808397461518,0.9283268465925132
m6A,9,2500,1,0.5985480546951294,,,,,0.8763180631111134,0.9203126952380625
m6A,9,3000,1,0.40415942668914795,,,,,0.8849954566473721,0.9237647332023937
m6A,9,3500,1,0.4681396484375,,,,,0.888844956644621,0.9245534335566077
m6A,9,4000,2,0.3581782281398773,,,,,0.8902023253632013,0.927639927155872
m6A,9,4500,2,0.34953057765960693,,,,,0.8907063736146597,0.9273390263163128
m6A,9,5000,2,0.3668588399887085,,,,,0.8911725985410675,0.926903265995193
m6A,9,5500,2,0.3378233313560486,,,,,0.8915243281423051,0.9269068397209661
m6A,9,6000,2,0.5631675720214844,,,,,0.8918754555663109,0.9266306218443576
m6A,9,6500,2,0.313804030418396,,,,,0.8921291417640081,0.9264666041749411
m6A,9,7000,2,0.3496053218841553,,,,,0.8922989164879825,0.9263785206310138
