name,query_type,group_query_dim,desc,best_avg_auc,best_epoch,total_params,trainable_params,train_time_s,class_0_auc,class_1_auc,class_2_auc,class_3_auc,class_4_auc,class_5_auc,class_6_auc,class_7_auc,class_8_auc,class_9_auc,class_10_auc,class_11_auc
1query_d128,1query,128,"1 global query + 12-way MLP, dim=128",0.7287356954852001,10,4608,4608,85.77021622657776,0.7137453077714673,0.9831730779994301,0.7140472600019419,0.6798131825308096,0.7131706694967563,0.6083542113734414,0.7271568591586379,0.7269786807672574,0.7281015653416986,0.6980627902184172,0.7128662268211176,0.7393585143414252
1query_d256,1query,256,"1 global query + 12-way MLP, dim=256",0.7287356954852001,10,4608,4608,84.87087607383728,0.7137453077714673,0.9831730779994301,0.7140472600019419,0.6798131825308096,0.7131706694967563,0.6083542113734414,0.7271568591586379,0.7269786807672574,0.7281015653416986,0.6980627902184172,0.7128662268211176,0.7393585143414252
1query_d512,1query,512,"1 global query + 12-way MLP, dim=512",0.7287356954852001,10,4608,4608,85.35051035881042,0.7137453077714673,0.9831730779994301,0.7140472600019419,0.6798131825308096,0.7131706694967563,0.6083542113734414,0.7271568591586379,0.7269786807672574,0.7281015653416986,0.6980627902184172,0.7128662268211176,0.7393585143414252
1query_d1001,1query,1001,"1 global query + 12-way MLP, dim=1001",0.7287356954852001,10,4608,4608,85.88430666923523,0.7137453077714673,0.9831730779994301,0.7140472600019419,0.6798131825308096,0.7131706694967563,0.6083542113734414,0.7271568591586379,0.7269786807672574,0.7281015653416986,0.6980627902184172,0.7128662268211176,0.7393585143414252
4query_d128,4query,128,"4-group hierarchical (baseline), dim=128",0.930506089888924,10,864450,864450,99.8773283958435,0.8059605940671972,0.9999999966206572,0.9856804166146069,0.9828415651874896,0.9764080921726143,0.753234132144505,0.9784761768511943,0.8199637139973052,0.9886532106303605,0.9119295195379689,0.980118648992654,0.9828070118505344
4query_d256,4query,256,"4-group hierarchical (baseline), dim=256",0.8852901961186719,10,897858,897858,98.30362224578857,0.6954266236312114,1.0,0.9727978136088972,0.832913326341656,0.9512180761977156,0.8010851887987417,0.9425915360406766,0.7654041354054943,0.9729494999319154,0.7962917604291353,0.9395099931030989,0.9532943999355191
4query_d512,4query,512,"4-group hierarchical (baseline), dim=512",0.9171979105485194,10,931650,931650,98.28866457939148,0.7317624000260029,0.9999998225845044,0.9824359612567755,0.9708858352680954,0.9758139515015517,0.6927173745050831,0.9738190468153751,0.8071046706649123,0.9844427715716282,0.9526691825715705,0.9566618371999153,0.9780620726168179
4query_d1001,4query,1001,"4-group hierarchical (baseline), dim=1001",0.9353895649366418,10,996198,996198,102.4428641796112,0.7857243306308648,0.9999999628272295,0.979778680716032,0.9701782801322592,0.9726228078073876,0.7658358394639372,0.9742678644689721,0.8577794770413033,0.9849681331413863,0.9715571502267518,0.9845829318598206,0.9773793209237551
12query_d128,12query,128,"12 independent queries, dim=128",0.9550149555072612,10,1093453,1093453,124.50347542762756,0.8336916510874649,1.0,0.9854467225482881,0.9858383316923428,0.9880194722674025,0.7897010633601328,0.9802855857011338,0.951758905515731,0.9889611117676828,0.9794388536151448,0.9900133853619159,0.9870243831698963
12query_d256,12query,256,"12 independent queries, dim=256",0.9581922158711276,10,1127885,1127885,124.23784160614014,0.8675667145201271,1.0,0.9855331220200312,0.9852630373875954,0.9879655144078164,0.7760678869379879,0.9796368831949066,0.9681502088752432,0.9890494019153839,0.9829841078070347,0.9892842792386196,0.9868054341487842
12query_d512,12query,512,"12 independent queries, dim=512",0.9577787608046641,10,1163725,1163725,124.54301881790161,0.850932271568155,1.0,0.9852543149811068,0.985222175282899,0.9880570741508018,0.7985217881302918,0.9787251017271409,0.9602085799650197,0.988295563195247,0.9814709555659403,0.9901266145487984,0.9865306905405686
12query_d1001,12query,1001,"12 independent queries, dim=1001",0.9596509677225931,10,1232185,1232185,123.653653383255,0.8682951889776234,0.9999998665159604,0.9847535560583947,0.9857355611652668,0.987891673639034,0.794348249237188,0.9794000201992908,0.9675156143304428,0.9882050736140611,0.9828505056587425,0.9896495463082419,0.9871667569668712
fullattn_d128,fullattn,128,"12 queries + self-attention, dim=128",0.9587465543747281,10,1792080,1792080,390.46085143089294,0.818314119632407,1.0,0.9800861124041198,0.9828701219854757,0.9829670072419316,0.8900813909410626,0.9727901256280499,0.954511632088083,0.9853550574799947,0.9706247171199617,0.9825033247122763,0.984855043263375
fullattn_d256,fullattn,256,"12 queries + self-attention, dim=256",0.9509931536655003,10,1792080,1792080,12400.466767311096,0.789332021989886,1.0,0.9806485711586772,0.9833905515951326,0.9808393673395999,0.8302800654197859,0.9731462046984463,0.9514302866698868,0.9857331156578453,0.9712675876435055,0.9795007340140616,0.9863493377991777
fullattn_d512,fullattn,512,"12 queries + self-attention, dim=512",0.9386301874249786,10,1792080,1792080,20227.583932876587,0.7155151820818728,0.9999999983103286,0.9829137613386784,0.9856324511814538,0.9816849179126718,0.9051347233260952,0.9743245838365986,0.8906651046010063,0.9849411338734556,0.9030299351495498,0.9537589164691914,0.9859615410188425
fullattn_d1001,fullattn,1001,"12 queries + self-attention, dim=1001",0.9274877871187802,10,1792080,1792080,3377.6973419189453,0.6390454844264747,1.0,0.9837590178319576,0.9845378517174899,0.9814748054453822,0.9018394335017907,0.9739675141387111,0.8596072543701994,0.9860044573230236,0.9136483003044439,0.9205264066074935,0.9854429197583965
