task_name,class_index,global_step,epoch,loss,human_Y_auc,plant_Y_auc,human_m5C_auc,plant_m5C_auc,human_m6A_auc,plant_m6A_auc
Y,5,100,1,0.744060218334198,0.611149654272267,0.545161351970026,,,,
Y,5,200,1,0.596420168876648,0.7591412273663365,0.8577762780089679,,,,
Y,5,300,1,0.4532116651535034,0.7997636580785085,0.9158429864224963,,,,
Y,5,400,1,0.43736594915390015,0.8009897818124798,0.9207191621237286,,,,
Y,5,500,1,0.49743807315826416,0.8013143390696107,0.9179159746670548,,,,
Y,5,600,1,0.47462528944015503,0.8009860945405456,0.9162662362481441,,,,
Y,5,700,1,0.39415067434310913,0.8019468527204937,0.9127211344535175,,,,
Y,5,800,1,0.5403432846069336,0.8038355539881077,0.9102610234752797,,,,
Y,5,900,1,0.4319397211074829,0.7980238477120551,0.9079700291739357,,,,
Y,5,1000,1,0.47897130250930786,0.8056167179639722,0.9105247774256986,,,,
Y,5,1100,1,0.4779980480670929,0.8065799750235757,0.9124382697950284,,,,
Y,5,1200,1,0.44005852937698364,0.8093273955285976,0.9171618870698519,,,,
Y,5,1300,1,0.40169936418533325,0.888333472413215,0.9729938206965304,,,,
Y,5,1400,1,0.3513554334640503,0.8959115121806628,0.9826889708700451,,,,
Y,5,1500,1,0.4100744128227234,0.8980113850585033,0.9815535853782663,,,,
Y,5,1600,1,0.29406243562698364,0.901425949453802,0.9766581026260731,,,,
Y,5,1700,2,0.41502511501312256,0.9006982179064735,0.9795578253375526,,,,
Y,5,1800,2,0.4235934615135193,0.9007257666302313,0.9795588724996387,,,,
Y,5,1900,2,0.26194271445274353,0.9007168414786283,0.9795884548285692,,,,
Y,5,2000,2,0.37595126032829285,0.9007178792869542,0.9795968321252573,,,,
Y,5,2100,2,0.2545357346534729,0.9007368691444004,0.9795765433598406,,,,
Y,5,2200,2,0.31399017572402954,0.9007588706809104,0.9795527204223834,,,,
Y,5,2300,2,0.3823844790458679,0.9007743441995582,0.9795501025171681,,,,
Y,5,2400,2,0.40871143341064453,0.9007971434240363,0.9795309918090981,,,,
Y,5,2500,2,0.3559567630290985,0.9007909450629366,0.9795329552380094,,,,
Y,5,2600,2,0.42243248224258423,0.9007762163243815,0.9795333479237918,,,,
Y,5,2700,2,0.2300107479095459,0.9008028818936031,0.9794983988891706,,,,
Y,5,2800,2,0.42503952980041504,0.9008202153275645,0.9794872727920064,,,,
Y,5,2900,2,0.3084220290184021,0.9008236055014291,0.9794948647171302,,,,
Y,5,3000,2,0.25406426191329956,0.9008660050588394,0.9794656750739819,,,,
Y,5,3100,2,0.3655450642108917,0.9008926339995319,0.9794319040967074,,,,
Y,5,3200,2,0.27937445044517517,0.9009124215449466,0.979393289994785,,,,
m5C,8,100,1,0.6088224649429321,,,0.7101579751995923,0.3849100020617535,,
m5C,8,200,2,0.5685248374938965,,,0.7248324395156397,0.5307419036218137,,
m5C,8,300,3,0.6331084966659546,,,0.7229711956126089,0.5109364836074612,,
m5C,8,400,3,0.6240537166595459,,,0.7262622242713971,0.5252656705253955,,
m5C,8,500,4,0.5842361450195312,,,0.7242451891577082,0.5314635173514939,,
m5C,8,600,5,0.5707368850708008,,,0.6488310805891917,0.7946529461498751,,
m5C,8,700,5,0.6129299998283386,,,0.739359363245893,0.8526945040683671,,
m5C,8,800,6,0.5168028473854065,,,0.7402441214297848,0.8742759888825136,,
m5C,8,900,7,0.5468361973762512,,,0.7408075905748746,0.8825479757256494,,
m5C,8,1000,7,0.5532686710357666,,,0.7400800795942634,0.8812447956706373,,
m5C,8,1100,8,0.5626147985458374,,,0.7430711737727196,0.8774101738745462,,
m5C,8,1200,9,0.5603330731391907,,,0.7462238831323255,0.8655708739757161,,
m5C,8,1300,9,0.4724336564540863,,,0.7471528064257806,0.863237816075604,,
m5C,8,1400,10,0.5663290619850159,,,0.7479036132883592,0.8624914293385927,,
m6A,9,500,1,0.5341278314590454,,,,,0.7907108795019712,0.9386832821520561
m6A,9,1000,1,0.5418883562088013,,,,,0.7975361509524758,0.9315839837757138
m6A,9,1500,1,0.535872220993042,,,,,0.8290727896700794,0.9148364357034497
m6A,9,2000,1,0.40404996275901794,,,,,0.8671084940724154,0.9428875618053648
m6A,9,2500,1,0.5724276900291443,,,,,0.8814693870619006,0.9348264679545499
m6A,9,3000,1,0.40333741903305054,,,,,0.8904568594766874,0.9304817803319522
m6A,9,3500,1,0.5031617283821106,,,,,0.8931922311015963,0.9242522901658962
m6A,9,4000,2,0.33205288648605347,,,,,0.8944086416713152,0.9271688032931726
m6A,9,4500,2,0.3167929947376251,,,,,0.8944736179292962,0.9272529414771581
m6A,9,5000,2,0.3984289765357971,,,,,0.8945125168512271,0.927223053553862
m6A,9,5500,2,0.38017940521240234,,,,,0.8945806767189534,0.9273643359564891
m6A,9,6000,2,0.5491592288017273,,,,,0.8946629363271017,0.9274725741478664
m6A,9,6500,2,0.30934345722198486,,,,,0.8947489997796926,0.9275822541132595
m6A,9,7000,2,0.25675168633461,,,,,0.8948333964496724,0.9276320499688853
